,symbol,Industry,P/S
19,FFIV,Software—Infrastructure,4.4652624
771,NET,Software—Infrastructure,73.26114
425,RUN,Solar,11.648613
73,FSLR,Solar,2.7435405
446,JKS,Solar,0.05340716
400,SPWR,Solar,3.885335
584,CTAS,Specialty Business Services,5.4025636
93,PPG,Specialty Chemicals,2.7800071
354,ESI,Specialty Chemicals,2.929611
251,ECL,Specialty Chemicals,5.0322495
320,LTHM,Specialty Chemicals,8.168318
46,CC,Specialty Chemicals,1.0661821
194,OLN,Specialty Chemicals,1.1078737
594,SHW,Specialty Chemicals,3.7791932
307,AXTA,Specialty Chemicals,1.8903261
409,PH,Specialty Industrial Machinery,2.6769109
615,MMM,Specialty Industrial Machinery,3.3697128
178,EMR,Specialty Industrial Machinery,3.296503
723,HWM,Specialty Industrial Machinery,2.9803438
644,HON,Specialty Industrial Machinery,4.523512
434,ROK,Specialty Industrial Machinery,5.001948
331,AME,Specialty Industrial Machinery,6.6255007
70,AOS,Specialty Industrial Machinery,3.5007331
725,ARNC,Specialty Industrial Machinery,0.6578146
516,ITW,Specialty Industrial Machinery,5.390717
407,GE,Specialty Industrial Machinery,1.4523485
4,ULTA,Specialty Retail,2.9458334
502,AZO,Specialty Retail,2.094165
375,ODP,Specialty Retail,0.24994221
193,ORLY,Specialty Retail,3.0652478
59,HOME,Specialty Retail,1.3855131
283,SFIX,Specialty Retail,3.4777868
427,BBY,Specialty Retail,0.5375149
690,KAR,Specialty Retail,1.0256742
209,SBH,Specialty Retail,0.602558
24,AAP,Specialty Retail,1.2484176
171,MIK,Specialty Retail,0
672,GME,Specialty Retail,2.9730887
526,REAL,Specialty Retail,5.9505734
199,PAYX,Staffing & Employment Services,9.324555
152,ADP,Staffing & Employment Services,5.604732
76,NUE,Steel,1.2927221
657,X,Steel,0.5746458
340,SID,Steel,0.3042782
679,CLF,Steel,1.1192921
213,STLD,Steel,1.1555027
383,GGB,Steel,0.18040377
535,TMUS,Telecom Services,2.6377385
456,T,Telecom Services,1.1829805
162,CHL,Telecom Services,0
424,ATUS,Telecom Services,1.5624951
731,CTL,Telecom Services,0
418,MBT,Telecom Services,0.016417988
689,VZ,Telecom Services,1.7838709
362,VG,Telecom Services,3.110576
575,ZM,Telecom Services,41.457664
298,KT,Telecom Services,0.00028624194
748,TSU,Telecom Services,0
726,VIV,Telecom Services,0.3507415
744,VGR,Tobacco,1.3046879
277,PM,Tobacco,5.3242717
90,MO,Tobacco,4.1452546
265,SWK,Tools & Accessories,2.017562
0,BKNG,Travel Services,16.29765
618,EXPE,Travel Services,4.6046915
55,NCLH,Travel Services,8.719452
32,TRIP,Travel Services,9.247279
629,CCL,Travel Services,40.372345
14,RCL,Travel Services,99.97507
637,TCOM,Travel Services,1.2102907
310,KNX,Trucking,1.5507237
497,BIP,Utilities—Diversified,1.749291
177,EXC,Utilities—Diversified,1.3170695
443,FE,Utilities—Diversified,1.9008856
661,PEG,Utilities—Diversified,3.1211305
525,SRE,Utilities—Diversified,3.6685472
421,D,Utilities—Diversified,4.255232
366,AES,Utilities—Diversified,1.6822035
360,CIG,Utilities—Diversified,0.18071689
164,NRG,Utilities—Independent Power Producers,0.9900002
656,VST,Utilities—Independent Power Producers,0.7132743
373,ENIA,Utilities—Regulated Electric,1.1925037
780,NEE,Utilities—Regulated Electric,8.400646
489,SO,Utilities—Regulated Electric,3.058862
467,AEP,Utilities—Regulated Electric,2.6633542
453,EIX,Utilities—Regulated Electric,1.5339806
741,DUK,Utilities—Regulated Electric,3.2670324
710,PPL,Utilities—Regulated Electric,2.792639
150,PAM,Utilities—Regulated Electric,0.014770822
204,ED,Utilities—Regulated Electric,2.0845034
160,PCG,Utilities—Regulated Electric,1.2153554
762,XEL,Utilities—Regulated Electric,2.924656
169,CNP,Utilities—Regulated Gas,1.8334979
399,SBS,Utilities—Regulated Water,0.2795467
543,BEP,Utilities—Renewable,2.7875245
468,CWEN,Utilities—Renewable,4.367365
752,WM,Waste Management,3.7087975
473,CY,unknown,0
6,STI,unknown,0
692,FTR,unknown,0
724,AABA,unknown,0
450,S,unknown,0
757,CRM,unknown,10.0588045
275,FCAU,unknown,0
518,RTN,unknown,0
92,CRZO,unknown,0
